classification|excerpt_lem
1|software  define networking  sdn
1|spdy experimental protocol multiplexe multiple  concurrent stream  typically http request  response stream  single tcp connection
0|aspdotnet signalr library aspdotnet developer make incredibly simple add real  time web functionality application   real  time web  functionality  be ability server  side code push content connect client happen  real  time
2|apache kafka publish  subscribe messaging framework java  design distribute  high  throughput system
1|kubernete open source implementation container cluster management
2|owasp ze attack proxy  zap
2|apache camel powerful open source integration framework base know enterprise integration pattern powerful bean integration
2|graphite highly scalable real  time graphing system  specifically build visualize numeric time  series datum  datum visualize graphite s web interface  graphite apache  license write python
0|open web interface dotnet describe component http pipeline communicate
2|zipkin open source distribute trace system create twitter
2|triplestore purpose  build database storage retrieval resource description framework  rdf  metadata  rdf store simple statement three element  subject  predicate object   hence  triple
1|aws lambda allow user run code response event  also manage infrastructure necessary execute code within millisecond event
0|nashorn open  source  jvm  base javascript engine  replace rhino javascript engine start java
1|kvm  kernel  base virtual machine  full virtualization solution linux x hardware contain virtualization extension  intel vt amd  v
0|bluebird fully feature promise library client server javascript focus innovative feature performance
1|google app engine cloud compute technology host web application google  manage datum center  google app engine platform service  paas  offering java  python  go php
0|swift application system programming language develop apple distribute open source  use tag question specific swift language feature  require code language
1|mariadb open source database server offer drop  replacement functionality mysql
1|openid connect rest  friendly protocol  possibly cross  domain  exchange user identity build top oauth  jwt specification
1|akka open  source toolkit runtime simplify construction concurrent distribute application jvm  implement actor model know erlang
1|ceph distribute object store file system design provide excellent performance  reliability scalability
1|web service  software system design support interoperable machine   machine interaction world wide web
2|aspdotnet mvc framework open source web application framework tool implement version model  view  controller  mvc  pattern tailor towards web application build upon aspdotnet technology foundation
1|rackspace cloud set cloud computing product service bill utility computing basis us  base company rackspace  offering include web application host platform service   cloud site    cloud storage   cloud file    virtual private server   cloud server    load balancer  database  backup  monitoring
1|internet explorer   ie  old version internet explorer  ship windows xp windows server   internet explorer  long support microsoft
2|sonarqube  formerly sonar  quality management platform focus continuous analysis source code quality  provide source code quality metric duplicate code  code standard  unit test  code coverage  complex code  potential bug  comment design architecture
1|open source bsd  license  memory datum structure store use database  cache message broker  support data structure string  hash  list  set  sorted set range query  bitmap  hyperloglog geospatial index radius query  build  replication  lua scripting  lru eviction  transaction different level  disk persistence  high availability via redis sentinel automatic partition redis cluster
2|datum visualization study visual representation datum  map chart common type datum visualization  many
1|java virtual machine  jvm  enable set computer software program datum structure use virtual machine model execution computer program script  use tag question deal tool provide jvm work specific scenario
1|meteor modular platform develop web mobile application javascript base nodejs platform
0|next generation javascript client framework leverage simple convention empower creativity
0|enlive clojure library html  xml extraction  transformation  templating
0|retrofit type  safe rest client android java square  inc
0|clojurescript interface facebook s react
2|nosql  sometimes expand  sql   broad class database management system differ classic model relational database management system  rdbms  significant way
2|distribute environment  failure give service inevitable  hystrix library design control interaction distribute service provide great latency fault tolerance
2|mercurial fast  open  source dvcs  distribute version control system
0|fsharp succinct  expressive efficient functional object  orient language dotnet help write simple code solve complex problem
0|qjs javascript promise library  q catch error use   technique handle javascript callback exception    use angular s  q  use  angular  promise  instead
1|mapbox mapping platform include custom base map  direction  geocoding  mobile sdks
2|new relic web application performance monitoring service ruby  java  dotnet  php  python  nodejs  android  ios app
0|alamofire http networking library write swift
2|client  server side pdf printing pure javascript
1|gpgpu acronym field computer science know  general purpose computing graphic processing unit  gpu
1|google bigquery web service let interactive analysis massive dataset  billion row  scalable easy use  bigquery let developer business tap powerful datum analytic demand
0|play framework  major revision play  ruby rail  like framework java platform  version  introduce feature use scala language  akka actor  scala template build system  sbt
0|lua powerful  fast  lightweight  embeddable scripting language  be dynamically typed  run interpret bytecode automatic garbage collection  speed one main reason widely use machine learn community  often refer  extensible extension language
0|emberjs mvc application framework write javascript
1|neoj open  source  transactional graph database well suited connected datum  use variety use  case directly jvm language via language driver via http  apis
2|pit fast bytecode  base mutation testing system java
1|nodejs event  base  non  blocking  asynchronous  framework use google s v javascript engine libuv library  use develop application make heavy use ability run javascript client  well server side therefore benefit  usability code lack context switching
1|http strict transport security  hst  web security policy mechanism whereby web server declare comply user agent interact use secure https connection
2|github web  base host service software development project use git version control
0|spray open  source toolkit build rest  http  base integration layer top scala akka
0|frege haskell jvm  like haskell  purely functional  enjoy strong static type system global type inference non  strict  also know lazy  evaluation
0|yeoman command  line tool frontend web development   web application boilerplate   main feature include project scaffolding  build process base part gruntjs  package management update project dependency
0|powerful flexible toolkit building web apis  django high  level python web framework encourage rapid development clean  pragmatic design  build experienced developer  take care much hassle web development  focus write app without need reinvent wheel   free open source
0|elixir open  source  dynamic  compile  general purpose functional programming language  design fully compatible erlang platform well suited write fault  tolerant  distribute application soft real  time guarantee ability hot  code  swapping
0|requirejs javascript file module loader  optimize  browser use  use javascript environment  like rhino node  use require call come bundle nodejs use requirejs  please use tag case  use require tag instead
0|sinatra base framework build dashboard simple way  use premade widget  fully create scss  html  coffeescript
1|fastly cdn provider
2|nuget free  open source developer focus package management system dotnet platform
1|microsoft azure  formerly window azure  platform service  paas  infrastructure service  iaas  cloud compute platform microsoft  user platform deploy application onto cloud host benefit  demand service  elastic scale  highly manage environment pay    go basis
0|backbonejs javascript framework restful json interface base model  view  presenter  mvp  application design paradigm
1|hadoop  represent second generation popular open source distribute platform apache hadoop
1|elasticsearch open source  apache    distribute  restful  search engine build top lucene
1|cloudera impala open source massively parallel processing  mpp  query engine run natively apache hadoop
0|coffeescript language compile javascript  underneath embarrassing brace semicolon  javascript always gorgeous object model heart  coffeescript attempt expose good part javascript simple way
2|ansible model  drive configuration management  multi  node deployment  orchestration remote task execution system  use ssh default  special software instal node manage  ansible extend language
2|swagger specification framework implementation describe  produce  consume  visualize restful web service
2|cucumber behavior drive development  bdd  tool execute functional description write plain text  structure simple gherkin language  automate test
1|heroku cloud platform ruby  nodejs  python  go  php  jvm  base application  feature git  base  github  api deployment strategy  large number service offer add  on  full api
2|zucchini visual ios testing framework build ruby  coffeescript javascript
2|frank allow write structured text test  acceptance test  requirement  use cucumber  execute io application
1|use programming development question relate android  google s os digital device  phone  tablet  auto  tv  wear  glass   please use android  specific tag android  intent  intent  question general use  development programming  use
2|locust python load testing framework
0|immutablej provide persistent immutable list  stack  map  orderedmap  set  orderedset record  highly efficient modern javascript vms  browser nodejs  use structural sharing via hash map try vector try popularize clojure scala  minimize need copy cache datum
1|rdfa  resource description framework attribute  technique allow express structured datum markup language  provide set attribute augment visual information web machine  readable hint
0|graphql data query language describe complex  nested datum dependency modern web application  create facebook
1|gwt  formerly google web toolkit  development toolkit build optimize complex browser  base application  goal enable productive development high  performance web application without require developer expert browser quirk  xmlhttprequ  javascript  gwt use many product google  include new version adword group  be open source completely free  apache  license
0|sass  syntactically awesome style sheet  extension css add feature like nest rule  variable  mixin class extension  enable developer write structured  manageable reusable css  sass compile standard css
0|react native enable build mobile app use javascript react  base declarative ui component get translate platform  native view  focus react native developer efficiency across platform care  learn  write anywhere
0|java  refer version   internal number   java platform  release  march
0|typescript typed superset javascript create microsoft add optional type  class  interface module compile plain javascript  typescript include advanced feature generic type  type inference  lambda function  string template  interpolation   destructure
2|composer tool dependency management php  allow declare project dependency install  see
0|angularjs open  source javascript framework  goal augment browser  base application model  view  whatevermv   capability reduce amount javascript need make web application functional  type app also frequently know single  page application
0|redux predictable state container javascript application base flux design pattern
2|get apigee product relate answer support apigee community apigee company produce sell api management platform  product include api communication gateway  backend    service app service  rest  accessible json store  use tag question apigee product  also indicate apigee product api dashboard edge
0|javaserver face  jsf  model  view  presenter framework typically use create html form base web application  use standard component render kit  stateful html view define use facelet jsp tag wire model datum application logic via back bean
1|apache spark open source cluster computing system large  scale data analytic computing
0|julia high  level  high  performance dynamic programming language technical computing  syntax familiar user technical computing environment
0|html  hardware  agnostic event device like mouse  pen  touchscreen  css  property specify particular graphic element become target mouse event
2|sensu open source monitor framework write ruby
1|google chrome web browser available mobile  tv  desktop platform  develop google  use blink layout engine application framework v javascript engine
2|mashery commercial api management service deploy  documenting monitor api service cloud premise
